model,system,seed,step,metric,param_count,value
HNN-Ternary,double_pendulum,456,1000,energy_drift,369,8.338867e1
HNN-Ternary,double_pendulum,456,1,trajectory_mse,369,9.633309e-5
HNN-Ternary,double_pendulum,456,10,trajectory_mse,369,9.379146e-3
HNN-Ternary,double_pendulum,456,100,trajectory_mse,369,1.121846e0
HNN-Ternary,double_pendulum,456,1000,trajectory_mse,369,8.811677e1
HNN-Ternary,double_pendulum,456,0,inference_us,369,2.64
HNN-Ternary,double_pendulum,456,0,memory_bytes,369,216
HNN-Adaptive,double_pendulum,456,1,energy_drift,375,4.701735e-4
HNN-Adaptive,double_pendulum,456,10,energy_drift,375,4.615899e-3
HNN-Adaptive,double_pendulum,456,100,energy_drift,375,4.517034e-2
HNN-Adaptive,double_pendulum,456,1000,energy_drift,375,2.277434e0
HNN-Adaptive,double_pendulum,456,1,trajectory_mse,375,2.262684e-5
HNN-Adaptive,double_pendulum,456,10,trajectory_mse,375,2.237275e-3
HNN-Adaptive,double_pendulum,456,100,trajectory_mse,375,1.902522e-1
HNN-Adaptive,double_pendulum,456,1000,trajectory_mse,375,4.368795e0
HNN-Adaptive,double_pendulum,456,0,inference_us,375,3.11
HNN-Adaptive,double_pendulum,456,0,memory_bytes,375,240
MLP-FP32,double_pendulum,456,1000,energy_drift,420,4.225707e-2
MLP-FP32,double_pendulum,456,0,inference_us,420,1.96
MLP-FP32,double_pendulum,456,0,memory_bytes,420,1680
